13:07:04.165913 config: drop-rate=0.00, max-delay=0s, seed=1584983224165762369
13:07:04.166217 router is listening at :3000
13:07:38.389327 [queue=0] packet #1, 127.0.0.1:60339 -> 127.0.0.1:8007, sz=11 is delivered
13:07:38.398250 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:60339, sz=11 is delivered
13:08:05.398619 [queue=0] packet #1, 127.0.0.1:35096 -> 127.0.0.1:8007, sz=11 is delivered
13:08:05.399511 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:35096, sz=11 is delivered
14:57:23.499876 config: drop-rate=0.00, max-delay=0s, seed=1585508243499789489
14:57:23.501061 router is listening at :3000
15:09:39.189037 [queue=0] packet #1, 127.0.0.1:43379 -> 127.0.0.1:8007, sz=39 is delivered
15:09:39.201421 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:43379, sz=39 is delivered
15:11:50.007178 [queue=0] packet #1, 127.0.0.1:39868 -> 127.0.0.1:8007, sz=39 is delivered
15:11:50.008603 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:39868, sz=39 is delivered
15:12:53.618499 [queue=0] packet #1, 127.0.0.1:56018 -> 127.0.0.1:8007, sz=39 is delivered
15:12:53.620179 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:56018, sz=39 is delivered
15:13:36.797377 [queue=0] packet #1, 127.0.0.1:45390 -> 127.0.0.1:8007, sz=39 is delivered
15:13:36.798710 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:45390, sz=39 is delivered
15:14:20.235352 [queue=0] packet #1, 127.0.0.1:35825 -> 127.0.0.1:8007, sz=39 is delivered
15:14:20.236538 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:35825, sz=39 is delivered
15:14:48.186530 [queue=0] packet #1, 127.0.0.1:57941 -> 127.0.0.1:8007, sz=39 is delivered
15:14:48.187738 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:57941, sz=39 is delivered
15:16:03.036265 [queue=0] packet #1, 127.0.0.1:37479 -> 127.0.0.1:8007, sz=39 is delivered
15:16:03.037516 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:37479, sz=39 is delivered
15:16:29.667940 [queue=0] packet #1, 127.0.0.1:54499 -> 127.0.0.1:8007, sz=39 is delivered
15:16:29.669089 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:54499, sz=39 is delivered
15:16:46.130531 [queue=0] packet #1, 127.0.0.1:33119 -> 127.0.0.1:8007, sz=39 is delivered
15:16:46.133944 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:33119, sz=39 is delivered
17:37:45.970012 config: drop-rate=0.00, max-delay=0s, seed=1585517865969932751
17:37:45.970784 router is listening at :3000
17:37:50.704559 config: drop-rate=0.00, max-delay=0s, seed=1585517870704469505
17:37:50.704858 router is listening at :3000
17:38:03.514944 [queue=0] packet #1, 127.0.0.1:59697 -> 127.0.0.1:8007, sz=18 is delivered
